transaction_id,customer_id,transaction_date,transaction_amount,transaction_type,category,payment_method,customer_segment,merchant_name,city
431,10243,10-01-2025,1715.19,Debit,Shopping,Credit Card,Premium,"Brahmbhatt, Choudhry and Sarraf",Kolkata
2887,10047,10-01-2025,3263.41,Credit,Entertainment,UPI,Premium,Sampath and Sons,Pune
3298,10393,10-01-2025,3333.9,Credit,Travel,Debit Card,Retail,"Murty, Ahluwalia and Ramesh",Hyderabad
5254,10240,10-01-2025,158.26,Debit,Food,UPI,Retail,Sami-Gokhale,Kolkata
3518,10167,10-01-2025,21123.09,Debit,Electronics,UPI,Retail,Tak PLC,Delhi
1595,10407,10-01-2025,3759.52,Debit,Shopping,UPI,Retail,Kannan-Madan,Hyderabad
7933,10374,10-01-2025,9152.48,Debit,Healthcare,Credit Card,Retail,"Butala, Raja and Pant",Pune
2684,10283,10-01-2025,20817.42,Credit,Electronics,Credit Card,Retail,Gour-Vala,Delhi
798,10276,10-01-2025,2390.99,Debit,Entertainment,Credit Card,Retail,Raghavan PLC,Kolkata
8554,10026,10-01-2025,22420.14,Credit,Electronics,UPI,Retail,"Kannan, Sheth and Sampath",Kolkata
6059,10124,10-01-2025,4310.53,Debit,Shopping,Net Banking,Retail,"Ramakrishnan, Pai and Rajagopalan",Delhi
1749,10082,10-01-2025,632.2,Debit,Food,Credit Card,Retail,Rajagopal-Aggarwal,Bangalore
5450,10307,10-01-2025,8905.24,Debit,Electronics,Net Banking,Retail,Karnik-Sarma,Pune
660,10065,10-01-2025,499.54,Credit,Food,UPI,Retail,"Sahni, Krishna and Sengupta",Kolkata
624,10011,10-01-2025,2092.74,Debit,Entertainment,Credit Card,Retail,"Garde, Peri and Borra",Kolkata
8134,10339,10-01-2025,1682.34,Debit,Entertainment,UPI,Retail,"Wason, Khosla and Hayre",Kolkata
5159,10232,10-01-2025,7375.29,Debit,Healthcare,Debit Card,Retail,Hegde-Sidhu,Bangalore
2219,10412,10-01-2025,1066.39,Debit,Food,UPI,Premium,"Koshy, Tara and Kar",Delhi
3058,10144,10-01-2025,846.41,Debit,Shopping,Debit Card,Retail,Kara-Dora,Hyderabad
8471,10254,10-01-2025,1114.48,Debit,Entertainment,Credit Card,Retail,Kale PLC,Pune
